0630 R L85 C33 H158 #00f299
0631 S L85 C11 H152 #99e2ac
0632 R L86 C28 H159 #00f5a0
0633 S L86 C19 H158 #33f5a1
0634 S L86 C14 H164 #68efb9
0635 S L87 C5 H163 #b8dfcb
0636 R L87 C32 H151 #00fd7d
0637 P L88 C22 H150 #46ff87
0638 S L89 C15 H151 #8bf5a8
0639 R L89 C25 H157 #3cffa5
0640 S L89 C18 H161 #4cfeb5
0641 R L90 C21 H158 #6bffb3
0642 R L92 C16 H161 #8fffc8
0643 S L92 C9 H153 #b4f7c7
0644 P L93 C13 H153 #abffc4
0645 R L18 C7 H167 #00170e
0646 R L28 C11 H174 #003227
0647 P L31 C8 H176 #003b30
0648 R L34 C10 H178 #004238
0649 P L38 C9 H173 #004e3e
0650 R L41 C13 H179 #00584b
0651 R L43 C17 H171 #005e4a
0652 R L46 C14 H178 #006758
0653 P L51 C12 H174 #007862
0654 S L51 C5 H176 #487166
0655 R L51 C21 H166 #007a58
0656 R L52 C17 H172 #007a61
0657 S L54 C9 H169 #287f65
0658 P L55 C14 H170 #008668
0659 R L56 C23 H168 #008967
0660 S L56 C7 H170 #48826e
0661 R L56 C18 H168 #008a68
0662 P L59 C13 H176 #00927a
0663 R L59 C21 H178 #00937e
0664 R L61 C17 H178 #009983
0665 R L62 C25 H172 #009c7c
0666 R L63 C19 H167 #00a178
0667 S L63 C9 H172 #459d84
0668 S L64 C6 H166 #6c9885
0669 R L64 C22 H166 #00a67a
0670 R L65 C21 H175 #00a78b
0671 P L65 C12 H176 #00a78c
0672 R L65 C26 H174 #00a88a
0673 P L68 C16 H171 #00b18c
0674 R L68 C30 H168 #00b287
0675 R L68 C22 H166 #00b383
0676 S L68 C10 H173 #4aac92
0677 R L69 C24 H173 #00b694
0678 P L71 C19 H168 #00be90
0679 S L72 C4 H173 #8eaca2
0680 R L72 C27 H165 #00c28e
0681 P L72 C17 H179 #00c0a6
0682 R L73 C30 H170 #00c599
0683 R L74 C24 H175 #00c6a4
0684 R L74 C28 H175 #00c6a5
0685 R L75 C20 H173 #00c9a3
0686 S L76 C6 H170 #8dbcaa
0687 S L76 C11 H172 #5ec8aa
0688 P L76 C16 H168 #00d19f
0689 R L77 C26 H170 #00d1a4
0690 R L77 C32 H171 #00d2a8
0691 R L77 C24 H178 #00d2b5
0692 P L78 C21 H165 #00d79d
0693 R L78 C29 H175 #00d7b4
0694 R L80 C34 H169 #00dcaa
0695 S L80 C11 H172 #6ad5b5
0696 S L81 C6 H173 #98cdbc
0697 R L81 C25 H173 #00e0b7
0698 P L82 C20 H169 #00e4b1
0699 R L83 C28 H175 #00e7c1
0700 R L83 C34 H175 #00e7c1
0701 R L83 C26 H166 #00ebad
0702 P L84 C18 H179 #00e9cb
0703 S L84 C12 H172 #71e2c0
0704 R L84 C36 H167 #00eeb4
0705 R L85 C31 H169 #00f1ba
0706 P L86 C23 H165 #00f6b4
0707 R L86 C27 H175 #00f4cb
0708 P L86 C20 H171 #00f5c3
0709 R L87 C27 H167 #00fabc
0710 S L88 C16 H175 #1df9d1
0711 R L88 C25 H176 #00fbd4
0712 S L89 C11 H168 #8bf4cd
0713 R L90 C20 H171 #57ffd0
0714 R L95 C10 H168 #bdffe4
0715 R L23 C9 H182 #00241f
0716 P L29 C5 H193 #003231
0717 R L37 C14 H185 #004a44
0718 S L42 C5 H182 #2a554e
0719 P L42 C9 H189 #005b57
0720 R L46 C17 H194 #006564
0721 P L48 C9 H184 #006d64
0722 R L49 C19 H181 #007062
0723 R L49 C13 H190 #006f6b
0724 R L52 C14 H186 #007870
0725 R L53 C20 H182 #007e71
0726 R L56 C19 H194 #008483
0727 P L56 C12 H183 #008679
0728 R L56 C17 H181 #008777
0729 R L58 C14 H195 #008c8b
0730 R L58 C22 H188 #008e86
0731 R L60 C19 H187 #00948b
0732 S L62 C7 H187 #4e948c
0733 P L62 C13 H182 #009c8b
0734 R L64 C24 H187 #00a298
0735 R L65 C20 H189 #00a59d
0736 P L66 C15 H186 #00a79b
0737 R L69 C17 H185 #00b3a5
0738 R L69 C26 H181 #00b5a1
0739 R L70 C21 H181 #00b9a4
0740 R L71 C20 H192 #00b7b4
